Month,Peak,Average
295,-,-
-17.9%,1.0,42.0
-9.4%,2.0,38.0
-3.5%,2.0,54.0
-5.2%,2.0,116.0
-12.3%,2.0,88.0
147,-,-
260,-,-
-7.2%,2.0,38.0
-14.9%,2.0,72.0
013,-,-
702,-,-
070,-,-
428,-,-
222,-,-
985,-,189.0
216,-,203.0
034,-,419.0
643,-,335.0
505,-,95.0
376,-,144.0
169,-,155.0
752,-,142.0
-1.3%,-,835.0
031,-,309.0
951,-,77.0
827,-,283.0
473,-,118.0
+4.2%,-,613.0
551,-,120.0
738,-,69.0
102,-,62.0
331,-,119.0
904,-,132.0
030,-,84.0
175,-,79.0
744,-,308.0
