Month,Peak,Average
1,78,375.0
830,250,-
580,-275,-
855,89,-
766,-86,-
852,-236,-
1,88,374.0
916,-8,-
924,-489,-
1,413,461.0
703,-588,-
1,291,493.0
1,242,442.0
969,186,-
783,146,-
637,-349,-
986,-342,-
1,328,-
1,298,-
773,-222,-
995,-880,-
1,875,-
1,591,-
2,517,-
2,327,-
1,693,-
710,-32,-
742,-554,-
1,296,-
1,532,-
1,587,-
878,-393,-
1,271,-
2,190,-
1,639,-
2,322,-
2,97,-
